Uhrzeit,Kurs,Ort,Tag
12:15 - 12:45,Les Mills Core,Bahrenfeld,Samstag
10:15 - 11:15,Yoga (L1/L2),Eppendorf Straßenbahnri,Samstag
10:15 - 11:10,Les Mills BodyPump® …,Stephansplatz,Samstag
10:20 - 11:05,AquaFit (L1/L2),Altona,Samstag
10:30 - 11:30,Deepwork® (L2),Eppendorf,Samstag
10:00 - 11:00,Les Mills BodyPump V…,Bahrenfeld,Samstag
10:10 - 11:10,Pilates,Holmes Place Bahrenfeld,Sonntag
11:00 - 11:45,Aqua,Holmes Place Bahrenfeld,Sonntag
11:15 - 12:15,BODYPUMP,Holmes Place Bahrenfeld,Sonntag
12:20 - 13:05,Les Mills CORE,Holmes Place Bahrenfeld,Sonntag
13:15 - 14:15,Full Body Workout,Holmes Place Bahrenfeld,Sonntag
14:20 - 15:20,Vinyasa Yoga,Holmes Place Bahrenfeld,Sonntag
16:00 - 17:00,60 Min HYROX Foundation 🇩🇪,Holmes Place Bahrenfeld,Sonntag
16:20 - 17:20,BODYBALANCE,Holmes Place Bahrenfeld,Sonntag
17:15 - 18:15,60 Min HYROX Power 🇩🇪,Holmes Place Bahrenfeld,Sonntag
19:00 - 20:00,Boxworkout,Sports Club Hamburg Eppendorf,Sonntag
14:40 - 15:40,BODYPUMP,Sports Club Hamburg Eppendorf,Sonntag
13:40 - 14:40,Jumping Fitness,Sports Club Hamburg Eppendorf,Sonntag
11:00 - 12:00,BODYBALANCE,Sports Club Hamburg Eppendorf,Sonntag
10:00 - 11:00,Spinning,Sports Club Hamburg Eppendorf,Sonntag
10:00 - 11:00,Functional Training,Sports Club Hamburg Eppendorf,Sonntag
18:00 - 19:00,Kickboxen,Sports Club Hamburg Eppendorf,Sonntag
19:20 - 20:20,Yin Yoga,Holmes Place Bahrenfeld,Sonntag
09:15 - 10:00,Rücken Fit,Holmes Place Bahrenfeld,Sonntag
17:30 - 18:30,Zumba,Holmes Place Bahrenfeld,Sonntag
12:00 - 13:30,Fit mit Faszio,Sports Club Hamburg Eppendorf,Sonntag
11:00 - 12:00,CrossFit WODLocal Class,Stadthöfe,Sonntag
09:00 - 10:00,Les Mills BodyCombat…,Bahrenfeld,Sonntag
15:00 - 16:00,FunctionalLocal Class,Alsterufer,Sonntag
14:45 - 15:45,VinyasaYoga (L1/L2),Stephansplatz,Sonntag
13:30 - 14:30,Pilates (L1/L2),Niendorf,Sonntag
13:30 - 14:30,BoxCamp (L2),Stephansplatz,Sonntag
13:30 - 14:30,Les Mills BodyCombat…,St. Georg,Sonntag
13:00 - 13:45,45Move It - Total Bod… Klein,St. Georg,Sonntag
12:55 - 13:15,PowerCore (L1/L2) Klein,Eppendorf,Sonntag
12:20 - 13:20,BoxCamp (L2),Niendorf,Sonntag
12:20 - 13:20,& Climb (L2/L3),Niendorf,Sonntag
12:20 - 13:20,Les Mills BodyPump® …,St. Georg,Sonntag
12:10 - 12:55,Les Mills Shapes (L1/L…,Eppendorf,Sonntag
12:00 - 12:55,Les Mills BodyAttack…,Jungfernstieg,Sonntag
12:00 - 12:45,45Move It - Total Bod… Klein,Eppendorf,Sonntag
12:00 - 13:00,OnRamp: SquatLocal Class,Alsterufer,Sonntag
11:45 - 12:45,Pilates (L1/L2),Stephansplatz,Sonntag
11:30 - 12:15,BikeIntense (L2/L3),Niendorf,Sonntag
11:10 - 12:10,Yoga (L1/L2),Niendorf,Sonntag
11:10 - 11:40,Les Mills Core,Bahrenfeld,Sonntag
11:00 - 11:45,45Move It - Total Bod… Klein,Niendorf,Sonntag
15:10 - 16:05,Les Mills BodyPump® …,Jungfernstieg,Sonntag
11:00 - 12:00,& Beats (L2),St. Georg,Sonntag
16:00 - 17:00,Deepwork® (L2),Altona,Sonntag
16:20 - 17:15,Les Mills BodyBalanc…,Jungfernstieg,Sonntag
09:00 - 10:00,Yoga (L1/L2),Rödingsmarkt,Sonntag
09:45 - 10:45,VinyasaYoga (L1/L2),Eppendorf,Sonntag
10:00 - 10:45,& Beats (L2),St. Georg,Sonntag
10:00 - 11:00,CrossFit WODLocal Class,Stadthöfe,Sonntag
10:00 - 11:00,BodyFit H.I.I.T. (L2),Niendorf,Sonntag
10:05 - 11:05,Les Mills BodyBalanc…,Bahrenfeld,Sonntag
10:15 - 11:15,BodyFit H.I.I.T. (L2),Rödingsmarkt,Sonntag
10:30 - 11:30,BodyStyling (L1/L2),Stephansplatz,Sonntag
10:45 - 11:30,AquaFit (L1/L2),Stephansplatz,Sonntag
11:00 - 11:55,Les Mills BodyCombat…,Eppendorf,Sonntag
11:00 - 12:00,YinYoga (L1/L2),Eppendorf,Sonntag
11:00 - 11:45,Les Mills Shapes (L1/L…,Jungfernstieg,Sonntag
18:15 - 19:15,YinYoga (L1/L2),Eppendorf,Sonntag
17:05 - 18:05,YogiLates (L1/L2),Altona,Sonntag
17:00 - 18:00,BodyStyling (L1/L2),Niendorf,Sonntag
17:00 - 17:45,DanceMoves (L1),St. Georg,Sonntag
17:00 - 18:00,BoxCamp (L2),Eppendorf,Sonntag
16:40 - 17:40,Les Mills BodyPump V…,Bahrenfeld,Sonntag
16:20 - 17:20,Les Mills BodyPump® …,Stephansplatz,Sonntag
16:00 - 16:30,Les Mills Grit,Bahrenfeld,Sonntag
10:00 - 10:45,Aqua,Holmes Place Bahrenfeld,Sonntag
